iter	MultiClass
135	0.2901068705
136	0.2892431247
137	0.287635071
138	0.2860952638
139	0.2843525006
140	0.2824272931
141	0.2813331234
142	0.2797801023
143	0.2780456603
144	0.2764546637
145	0.2747722173
146	0.2735160479
147	0.2711946357
148	0.269301261
149	0.267297736
150	0.2657796809
151	0.2647948442
152	0.2627712388
153	0.2612583137
154	0.2599251055
155	0.2583010359
156	0.2570383226
157	0.2560085049
158	0.2539686311
159	0.2526173815
160	0.2514591268
161	0.2497268998
162	0.2484031291
163	0.2471968591
164	0.2456373572
165	0.2442015301
166	0.2430679569
167	0.2425072882
168	0.2412102709
169	0.2395665141
170	0.2380266021
171	0.2370801301
172	0.2360417689
173	0.2346171468
174	0.2336522444
175	0.2320977091
176	0.2309346244
177	0.230183786
178	0.2294137266
179	0.2281419286
180	0.227128959
181	0.2256985633
182	0.2243041634
183	0.2226828462
184	0.2213570851
185	0.2202521864
186	0.2195171064
187	0.2185358848
188	0.2174826558
189	0.2163204602
190	0.2148091593
191	0.2139958544
192	0.2125091961
193	0.2115313342
194	0.2105324506
195	0.2098272114
196	0.2077900228
197	0.2066519749
198	0.2053078626
199	0.204054383
200	0.2030041252
201	0.2017603792
202	0.2007590738
203	0.1999891987
204	0.1989133213
205	0.1979833951
206	0.1968636971
207	0.1957255345
208	0.1943449245
209	0.1932479464
210	0.1922986249
211	0.1910254359
212	0.1899777132
213	0.1892108305
214	0.1886911934
215	0.1881318829
216	0.1871197689
217	0.1863613423
218	0.1854817928
219	0.1845283481
220	0.1837225125
221	0.1826433013
222	0.1818613439
223	0.1809208188
224	0.180099491
225	0.1795158865
226	0.1787275688
227	0.1784254695
228	0.177579439
229	0.1769255723
230	0.1762684711
231	0.1755044888
232	0.1743279943
233	0.1737164189
234	0.1726923377
235	0.171882382
236	0.1717029764
237	0.1709539997
238	0.1703802914
239	0.1695470973
240	0.1687245734
241	0.1679751712
242	0.1673985033
243	0.1667615995
244	0.1659455211
245	0.1652047311
246	0.1646632711
247	0.163803528
248	0.1629714107
249	0.1625515997
250	0.1617857378
251	0.1612059774
252	0.1603205887
253	0.159634663
254	0.1590017931
255	0.1584701148
256	0.157866036
257	0.1575412328
258	0.1570132419
259	0.1563700823
260	0.1555355495
261	0.1547866408
262	0.1541422595
263	0.1535143142
264	0.1527067955
265	0.1521212954
266	0.1515874587
267	0.1507884154
268	0.1501292168
269	0.1496415968
270	0.1489305706
271	0.1482877522
272	0.1473263886
273	0.1466501464
274	0.1461606468
275	0.1456559641
276	0.1451054775
277	0.1446778306
278	0.1441622297
279	0.1436983668
280	0.143368936
281	0.1428405859
282	0.1425207605
283	0.1417916766
284	0.1412826102
285	0.1407171023
286	0.1402968417
287	0.1398539691
288	0.1395299318
289	0.1392492094
290	0.1390052507
291	0.1382140228
292	0.1380084786
293	0.1375848958
294	0.1371378433
295	0.1365890278
296	0.1360041422
297	0.1356578849
298	0.1353562261
299	0.1347068272
300	0.1341825424
301	0.1336834327
302	0.1331804388
303	0.1329123969
304	0.1324376059
305	0.1318590344
306	0.1313374863
307	0.1307669923
308	0.1302318908
309	0.1296857607
310	0.1291074779
311	0.1286000628
312	0.1278921881
313	0.1274865616
314	0.1270057118
315	0.1265827067
316	0.1260450508
317	0.1256748825
318	0.1252874375
319	0.1249886507
320	0.1246503141
321	0.1241851696
322	0.1238174633
323	0.1234106183
324	0.122768926
325	0.1225320815
326	0.1221347993
327	0.1217914593
328	0.1213375406
329	0.1205822776
330	0.1201981526
331	0.1197496583
332	0.1193433695
333	0.1190290519
334	0.1184748335
335	0.1177595934
336	0.117489672
337	0.1170328066
338	0.1167718214
339	0.1164528481
340	0.1162419538
341	0.1158213489
342	0.1155970558
343	0.1153229681
344	0.1147553814
345	0.1144164039
346	0.1142754576
347	0.1137469811
348	0.1133780672
349	0.1129130028
350	0.1123961127
351	0.1119250453
352	0.1115558242
353	0.1112788611
354	0.1109332057
355	0.1105136973
356	0.1101874497
357	0.109813622
358	0.1092442094
359	0.1088250471
360	0.1084450903
361	0.1082818469
362	0.1078688507
363	0.1075950034
364	0.107349457
365	0.1068786194
366	0.1065645442
367	0.1062288493
368	0.1059130935
369	0.1055122589
370	0.1052195633
371	0.1048434343
372	0.1045797452
373	0.1042186474
374	0.1037816717
375	0.1035587575
376	0.1031707784
377	0.1027817791
378	0.1026407395
379	0.1022084339
380	0.1018396155
381	0.1016966707
382	0.1015653826
383	0.1013693646
384	0.1008623274
385	0.1006109079
386	0.1001973916
387	0.09995475505
388	0.09958993159
389	0.09936488967
390	0.09906801735
391	0.09873883272
392	0.09844025472
393	0.09801673535
394	0.09761578461
395	0.09729138387
396	0.09682855813
397	0.09648810353
398	0.09618734557
399	0.09581337283
400	0.09551800037
401	0.09527218478
402	0.09494781878
403	0.09462197999
404	0.09428449657
405	0.09412806528
406	0.09390782381
407	0.09375398522
408	0.09361588017
409	0.09340819199
410	0.09292200187
411	0.09256578132
412	0.09229755307
413	0.09195867218
414	0.09176312012
415	0.09137636487
416	0.09102506841
417	0.09083061591
418	0.09066134148
419	0.09044537048
420	0.09036131151
421	0.09003793572
422	0.08981070851
423	0.08950118734
424	0.08935852246
425	0.0891197288
426	0.08870568499
427	0.08858883162
428	0.08838729165
429	0.08803559452
430	0.08787399675
431	0.08761992303
432	0.08736245147
433	0.08720456704
434	0.0870416926
435	0.08680820708
436	0.08647049963
437	0.08619290523
438	0.08594737018
439	0.08574457117
440	0.08557453946
441	0.08539602843
442	0.08514516353
443	0.08494577389
444	0.08471532215
445	0.08452650941
446	0.08432447974
447	0.08403388601
448	0.08368353099
449	0.08350612681
450	0.0831797864
451	0.08301804785
452	0.08278713377
453	0.08261830611
454	0.08227228598
455	0.08210714186
456	0.08176332026
457	0.08151321819
458	0.08119421406
459	0.08095143311
460	0.08078327984
461	0.08055770294
462	0.08035793959
463	0.08004151622
464	0.07991144353
465	0.07977674098
466	0.07953846163
467	0.07933897627
468	0.07918848468
469	0.07900996107
470	0.07879577323
471	0.07869398526
472	0.07845629556
473	0.07823876694
474	0.07807785813
475	0.07792301885
476	0.07771132612
477	0.07741784127
478	0.07729791599
479	0.07702163759
480	0.07678153614
481	0.07654087936
482	0.0762567373
483	0.07607200399
484	0.07564979296
485	0.07541135969
486	0.0751199911
487	0.07493708662
488	0.07470507519
489	0.07442725547
490	0.07429075031
491	0.0740422118
492	0.07372438809
493	0.07353561402
494	0.07340565161
495	0.07314660405
496	0.07304859868
497	0.07289707315
498	0.07279021272
499	0.07261339376
500	0.07243402675
501	0.07227599307
502	0.07196123114
503	0.07185431164
504	0.07161500256
505	0.07143194668
506	0.07117864835
507	0.07107799229
508	0.07092042992
509	0.07076483882
510	0.07066639316
511	0.07048144718
512	0.07014120439
513	0.06993969494
514	0.06973995924
515	0.06947368457
516	0.06921841115
517	0.06894283345
518	0.06877166171
519	0.06860039484
520	0.06843170065
521	0.06818524139
522	0.06795142717
523	0.06776090086
524	0.06759852061
525	0.06748077284
526	0.0673214254
527	0.06712835211
528	0.06700914869
529	0.06694119932
530	0.06674933618
531	0.06657634127
532	0.06638555706
533	0.06619139891
534	0.0660522839
535	0.06589550805
536	0.06569895981
537	0.06552286524
538	0.06537934471
539	0.06526247725
540	0.06510226763
541	0.06492219983
542	0.06467820205
543	0.06445535872
544	0.06431488929
545	0.0640815052
546	0.06398701169
547	0.06383015837
548	0.06367611295
549	0.06350341583
550	0.06325689203
551	0.06305065185
552	0.06293187406
553	0.06278653978
554	0.06259154776
555	0.06241594229
556	0.0622218763
557	0.06213475419
558	0.06193688968
559	0.06177889787
560	0.06167116871
561	0.06146841765
562	0.06135589575
563	0.06117853486
564	0.06104872202
565	0.0609973853
566	0.06084353144
567	0.06071066391
568	0.06049882531
569	0.06041774494
570	0.06019876687
571	0.06003313695
572	0.05992774555
573	0.05974816886
574	0.05961719259
575	0.05947929833
576	0.05931783029
577	0.05921379563
578	0.0590977922
579	0.05898367946
580	0.05886857981
581	0.05870993428
582	0.0585637716
583	0.05847759565
584	0.05835401938
585	0.05819362091
586	0.05810712769
587	0.05801129323
588	0.05787245037
589	0.05778411767
590	0.05759742076
591	0.05745351434
592	0.05726892223
593	0.05716986933
594	0.05698102497
595	0.05684606862
596	0.0567165224
597	0.05662322764
598	0.05646722101
599	0.05638246536
600	0.05619842328
601	0.05599468708
602	0.05586796326
603	0.05572939987
604	0.05558813159
605	0.05543528342
606	0.05532951014
607	0.05524504716
608	0.05505066833
609	0.05499290547
610	0.05486796068
611	0.05468031449
612	0.05457149124
613	0.05446722397
614	0.05436028265
615	0.05427490179
616	0.0541467546
617	0.0540421208
618	0.05387275849
619	0.05378916786
620	0.05364539152
621	0.05350487563
622	0.05338248796
623	0.05328321209
624	0.05314459609
625	0.05301231541
626	0.05288460409
627	0.05276761777
628	0.05269934874
629	0.05259791167
630	0.05243495358
631	0.05230543236
632	0.05219964718
633	0.05202556416
634	0.05194136939
635	0.05188137107
636	0.05176462628
637	0.05173275956
638	0.05158788677
639	0.05142704736
640	0.05130964552
641	0.05114591967
642	0.05100567105
643	0.05089265756
644	0.05080568225
645	0.05065489771
646	0.05051621329
647	0.05044360266
648	0.05039250792
649	0.05032177079
650	0.05023538103
651	0.05010772028
652	0.04997209216
653	0.04991915382
654	0.04979012262
655	0.04967882009
656	0.04954838154
657	0.0493980771
658	0.04931725879
659	0.04913369196
660	0.0490422103
661	0.04888580106
662	0.04884119146
663	0.04873034887
664	0.04864212619
665	0.04855914032
666	0.04842666051
667	0.04833323768
668	0.04826896509
669	0.04821189697
670	0.0481054772
671	0.04798143091
672	0.04789310351
673	0.04778305892
674	0.0476831402
675	0.04755430681
676	0.04748615291
677	0.04735265738
678	0.047305741
679	0.04720521493
680	0.04713249592
681	0.04705074062
682	0.04687251935
683	0.04676356927
684	0.04669007159
685	0.0465695857
686	0.04648471502
687	0.04643057504
688	0.04634606243
689	0.04629699751
690	0.04624488076
691	0.04612801209
692	0.04598145643
693	0.04585771401
694	0.04576082221
695	0.04561878536
696	0.04552458448
697	0.04545660306
698	0.04536253715
699	0.0452649047
700	0.04522406869
701	0.04512194096
702	0.04501076865
703	0.04487948301
704	0.04483159348
705	0.04475946437
706	0.04470511391
707	0.04458740833
708	0.04450606514
709	0.04439137962
710	0.04426253741
711	0.04416117678
712	0.04405277271
713	0.0439860726
714	0.0439335856
715	0.04384368756
716	0.04377855515
717	0.04369406439
718	0.04364851833
719	0.04358033412
720	0.0434836247
721	0.04341533566
722	0.0433705966
723	0.04333240557
724	0.04327900061
725	0.04316821211
726	0.04311477246
727	0.04300770125
728	0.04290099646
729	0.04280562089
730	0.04266397562
731	0.04258505505
732	0.04251305053
733	0.04238429787
734	0.04231508631
735	0.04223414244
736	0.04217324781
737	0.04206690346
738	0.04197051206
739	0.04184723044
740	0.04177382525
741	0.04169769824
742	0.0416721781
743	0.04163703309
744	0.04159544779
745	0.04150924766
746	0.04145033992
747	0.04138541699
748	0.04133527868
749	0.04128499239
750	0.04120225287
751	0.04116699309
752	0.04109453568
753	0.041036845
754	0.04094081314
755	0.04084570564
756	0.04079446969
757	0.04072601196
758	0.04067049295
759	0.04060472185
760	0.04057428649
761	0.04051269955
762	0.04043248427
763	0.04040334487
764	0.04035213648
765	0.04028216403
766	0.04022429787
767	0.04017260833
768	0.04011409211
769	0.04007354063
770	0.04000629717
771	0.03994897986
772	0.03987559128
773	0.03978742167
774	0.03972761774
775	0.03967895242
776	0.0396206568
777	0.03956664403
778	0.03948596021
779	0.03941178271
780	0.03933017223
781	0.03926179159
782	0.03920827118
783	0.03910444126
784	0.03905761648
785	0.03900990979
786	0.03894657691
787	0.03889048385
788	0.03881817654
789	0.03876543454
790	0.03871204587
791	0.03867723884
792	0.0386043515
793	0.03856439763
794	0.03851373183
795	0.03846992315
796	0.03839010511
797	0.03833293405
798	0.03824397799
799	0.0381117968
800	0.03806361365
801	0.03803659474
802	0.03796597062
803	0.03790854986
804	0.03782837582
805	0.03776514957
806	0.03769482829
807	0.03762370506
808	0.03756055396
809	0.03751484977
810	0.03746459838
811	0.0373950462
812	0.03731328861
813	0.03725514328
814	0.03717242008
815	0.03713419338
816	0.03704319925
817	0.03699801215
818	0.03696205002
819	0.03689463628
820	0.03682459135
821	0.03676381254
822	0.0367206683
823	0.03665955275
824	0.03659587264
825	0.03652517672
826	0.03645449165
827	0.03642131023
828	0.03635725094
829	0.03629798438
830	0.03623141177
831	0.03615163858
832	0.036072411
833	0.03601293913
834	0.03592791986
835	0.03587677766
836	0.03582675657
837	0.03575113521
838	0.03568611383
839	0.03564916312
840	0.0356222063
841	0.03556718768
842	0.03551570819
843	0.0354717789
844	0.03543156109
845	0.03540417624
846	0.03535957458
847	0.03527712792
848	0.0352241114
849	0.03518655356
850	0.03514860831
851	0.03508388155
852	0.03503428127
853	0.03499401488
854	0.03493552233
855	0.03487778637
856	0.03482870876
857	0.03477854503
858	0.03471434537
859	0.03468069971
860	0.03461395045
861	0.03456334418
862	0.03447237547
863	0.03440368674
864	0.03433298501
865	0.03429939557
866	0.03422337941
867	0.03418628825
868	0.0341471608
869	0.03410975757
870	0.03406332933
871	0.03398899711
872	0.03395013918
873	0.0339049203
874	0.03386989065
875	0.0338034246
876	0.03375254597
877	0.03370623484
878	0.03364963748
879	0.03362500843
880	0.0335828003
881	0.03356483278
882	0.03351215911
883	0.03347739095
884	0.03344086288
885	0.03338294134
886	0.03333476639
887	0.03329328831
888	0.03326602033
889	0.03321405471
890	0.03314709357
891	0.03311805974
892	0.03308025124
893	0.03304367478
894	0.03296895392
895	0.03290873227
896	0.03286312658
897	0.03283338765
898	0.03280020184
899	0.03273230825
900	0.03270390615
901	0.03264206508
902	0.03260646444
903	0.03256964333
904	0.03254758002
905	0.03250709916
906	0.03243303919
907	0.03240175527
908	0.03236205257
909	0.03230555638
910	0.03223450458
911	0.0321759066
912	0.03208672434
913	0.03203898164
914	0.03199349876
915	0.03193524436
916	0.03188984699
917	0.03182879809
918	0.03177596532
919	0.03173610727
920	0.0316840548
921	0.0316297705
922	0.03156770532
923	0.03151827124
924	0.031450577
925	0.03139352788
926	0.03133283398
927	0.03126078552
928	0.03120784105
929	0.03117887331
930	0.031134048
931	0.03107822154
932	0.03102955615
933	0.0310084003
934	0.03099189263
935	0.03096324693
936	0.03092510954
937	0.03088232154
938	0.03084636946
939	0.03080939818
940	0.03075254014
941	0.0306987712
942	0.03064850141
943	0.03061134515
944	0.03057797304
945	0.0305390002
946	0.03049359009
947	0.03045181887
948	0.03040287693
949	0.03037436791
950	0.03031976844
951	0.03027692935
952	0.03022789179
953	0.03017812475
954	0.03012527053
955	0.03009962043
956	0.03007044108
957	0.03005397366
958	0.02999815676
959	0.02994885181
960	0.02991411566
961	0.02985900731
962	0.02983529317
963	0.02979534197
964	0.02975972509
965	0.02973530152
966	0.02971993026
967	0.02970115367
968	0.02967090132
969	0.02961115892
970	0.02956768623
971	0.02951997273
972	0.02945796962
973	0.0294279556
974	0.0293970627
975	0.02935658469
976	0.02930287927
977	0.02927061318
978	0.02920850163
979	0.02917239891
980	0.02913434134
981	0.02910483161
982	0.02906475343
983	0.02902586663
984	0.02898771623
985	0.02894407379
986	0.02890099981
987	0.02884996727
988	0.02882239148
989	0.02876102156
990	0.02871234921
991	0.02869246415
992	0.02867412906
993	0.02863506974
994	0.02856318744
995	0.02852251883
996	0.02848175835
997	0.02842601765
998	0.02837838365
999	0.02835843604
